n,id_moodle,titulo_catalogo,nome_curso,carga_horaria,idioma,nivel_dificuldade,professores_instrutores,publico_alvo,requisitos_tecnicos,pre_requisitos,descricao_curso,conteudos,metodologia,processo_avaliacao,categorias_nomes,tags,libras,link_curso,link_info,link_thumb,erro_extracao
25,776,Guardiões da natureza: Educação Ambiental em espaços educativos não formais na primeira infância,Guardiões da natureza: Educação Ambiental em espaços educativos não formais na primeira infância.,20 horas,Português,Básico,[Manuella Villar Amado](https://mooc.cefor.ifes.edu.br/moodle/user/profile.php?id=18696),"Professores, pedagogos, educadores ambientais, pesquisadores e pessoas da comunidade em geral que se interessam em desenvolver atividades no segmento da Educação Infantil utilizando espaços não formais de educação para promover a Educação Ambiental.","Necessário computador ou smartphone com acesso à internet e programas de edição de texto (pdf, word).",Não há pré-requisitos para realização desse curso.,"O curso ""Guardiões da Natureza"" tem como foco principal a formação de professores em educação ambiental, no contexto da Educação Infantil, utilizando espaços de educação não formais, como parques, jardins, praças, ambientes naturais, associações de pescadores, comunidades indígenas como contextos de aprendizagem. Através de atividades práticas, jogos e experiências diretas com o ambiente, as crianças serão incentivadas a se sentirem pertencentes aos espaços naturais tornando-se protagonistas na construção de um mundo mais sustentável.","Modulo I- Introdução a Educação Ambiental e sua relação com a Educação Infantil: Por onde começar?
Módulo II- OsEspaços de Educação Não Formais e sua articulação com a Educação Formal.
Módulo III- Os espaços da Comunidade como ambientes de aprendizado: Conexões Educativas","Este curso não possui tutoria, logo ele é autoinstrucional. Os conteúdos, a serem estudados de forma livre pelo cursista, estão disponíveis em forma de vídeos, materiais textuais e links para internet. Ao final de cada etapa o cursista realizará uma atividade diversificada (fórum blog, mapa mental, pesquisa, debate, entre outros). A nota final será através de questionário com correção automática.","O cursista será avaliado por meio de atividades realizadas ao final de cada tópico e questionário de autocorreção ao final do curso, estas atividades terão um total de 100 pontos. Os questionários possuem restrição para sua realização. Assim, estão condicionados ao acesso de certos recursos ou à entrega de determinadas atividades. Para obter aprovação, o cursista deverá alcançar 60% da nota máxima no curso, constituída da soma de todas as atividades avaliativas realizadas.
Criar Conta
Turmas anteriores",Ambiente e Saúde,educacao-ambiental;educacao-infantil;espacos-nao-formais;formacao-de-educadores;formacao-de-educadores-ambientais;rio-doce-escolar,nao,https://mooc.cefor.ifes.edu.br/moodle/course/view.php?guardioes-natureza-educacao-ambiental,https://mooc.cefor.ifes.edu.br/moodle/course/info.php?id=776,https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2026/03/vitrine_Guardioes-da-natureza_-Educacao-Ambiental-em-espacos-educativos-nao-formais-na-primeira-infancia-1.png,
26,774,Educação em Saúde Ambiental,Educação em Saúde Ambiental,20 h,Português,Básico,[Manuella Villar Amado](https://mooc.cefor.ifes.edu.br/moodle/user/profile.php?id=18696),"Educadores da Educação Básica, gestores escolares, professores formadores, estudantes de cursos de licenciatura e de pós-graduação na área da Educação Ambiental, Educação em Ciências e áreas afins, bem como Agentes Comunitários de Saúde (ACS), Agentes de Combate às Endemias (ACE) e demais profissionais que atuam na interface entre educação, saúde e ambiente. O curso também se destina a outros interessados na temática da Educação em Saúde Ambiental, especialmente aqueles que desenvolvem ou pretendem desenvolver ações educativas em territórios marcados por vulnerabilidades socioambientais e por impactos decorrentes de crimes socioambientais, como os municípios da bacia do Rio Doce.","Conexão com a internet, celulares, computadores ou notebooks.",Não há.,"O cursoEducação em Saúde Ambientalaborda, de forma crítica e contextualizada, as relações entre ambiente, saúde e educação, considerando os determinantes sociais e ambientais do processo saúde-doença em territórios marcados por desigualdades socioambientais. Partindo da perspectiva da Educação Ambiental Crítica e da Saúde Coletiva, o curso discute a Educação em Saúde Ambiental como uma abordagem ético-política orientada pela práxis, pela intersetorialidade e pela participação social.
O percurso formativo problematiza os impactos ambientais e sanitários associados a desastres tecnológicos, com ênfase no rompimento da barragem de Fundão (Mariana-MG), compreendido como crime socioambiental, e seus efeitos sobre os territórios capixabas da bacia do Rio Doce. São discutidos agravos à saúde física, mental e psicossocial, bem como processos de invisibilização e silenciamento da saúde, especialmente em populações historicamente vulnerabilizadas.
O curso também enfatiza o papel da escola e dos processos educativos na leitura crítica do território e na construção de respostas coletivas aos riscos e danos socioambientais, articulando educação, saúde e ambiente. Nesse contexto, são abordados o planejamento de projetos de Educação em Saúde Ambiental, a integração com políticas públicas intersetoriais, como o Programa Saúde na Escola, e a elaboração de Propostas Pedagógicas Aplicadas, fundamentadas em experiências educativas desenvolvidas em contextos reais.
Ao final do curso, espera-se que os participantes ampliem sua compreensão sobre a Educação em Saúde Ambiental e fortaleçam sua capacidade de planejar ações educativas contextualizadas, críticas e comprometidas com a promoção da saúde, a justiça socioambiental e a defesa da vida nos territórios.","Introdução à Saúde Ambiental;
Relação entre Ambiente e Saúde Humana;
Implementação de Projetos de Educação em Saúde Ambiental.","O cursoEducação em Saúde Ambientalé desenvolvido na modalidade deCurso Online Aberto e Massivo (MOOC), sem tutoria, com organização modular e abordagem formativa orientada pela Educação Ambiental Crítica e pela Saúde Coletiva. A metodologia adotada privilegia a autonomia dos cursistas, a leitura crítica da realidade e a articulação entre teoria, território e prática pedagógica.
Os conteúdos, a serem estudados de forma livre pelo cursista, estão disponíveis em forma de vídeos, materiais textuais e links para internet.O percurso formativo está estruturado em módulos sequenciais, organizados de modo a favorecer a compreensão progressiva dos conceitos e das problemáticas abordadas. Os conteúdos são apresentados por meio de textos base, materiais audiovisuais, infográficos e materiais complementares, possibilitando diferentes formas de acesso e compreensão dos temas tratados. A leitura reflexiva dos textos constitui elemento central da metodologia, sendo estimulada por questões orientadoras e por atividades avaliativas automatizadas.
Aintersetorialidadeé tratada como princípio estruturante do processo formativo, sendo abordada a partir da articulação entre educação, saúde e ambiente, com destaque para políticas públicas como o Programa Saúde na Escola. As experiências educativas e as Propostas Pedagógicas Aplicadas resultantes de edições anteriores do curso, sistematizadas no Caderno de Resumos disponibilizado como material complementar, são utilizadas como referências formativas, contribuindo para a contextualização dos conteúdos e para a aproximação com práticas educativas reais.As atividades propostas ao longo do curso têm caráter formativo e reflexivo, buscando verificar a compreensão dos conteúdos e estimular a aplicação dos conhecimentos no contexto de atuação dos cursistas. O planejamento de projetos de Educação em Saúde Ambiental é apresentado como uma possibilidade de desdobramento do percurso formativo, incentivando a construção de ações educativas contextualizadas, fundamentadas na leitura crítica do território e nas necessidades das comunidades.
Dessa forma, a metodologia do curso busca promover uma formação crítica, autônoma e contextualizada, coerente com os princípios da Educação em Saúde Ambiental, contribuindo para o fortalecimento de práticas educativas comprometidas com a promoção da saúde, a justiça socioambiental e a defesa da vidaA abordagem metodológica fundamenta-se napráxis pedagógica, entendida como movimento de ação-reflexão-ação. Ainda que o curso não conte com tutoria, busca-se provocar a reflexão crítica dos cursistas sobre suas realidades de atuação, incentivando a problematização dos territórios, dos impactos socioambientais sobre a saúde e do papel da educação no enfrentamento das injustiças socioambientais.
Há questionários avaliativos de correção automática.","O cursista será avaliado por meio de questionário avaliativo de autocorreção ao final de cada módulo, que juntos totalizam 100 pontos.
Os questionários possuem restrição para sua realização. Assim, estão condicionados ao acesso de certos recursos ou à entrega de determinadas atividades.
Para obter aprovação, o cursista deverá alcançar 60% da nota máxima no curso, constituída da soma de todas as atividades avaliativas realizadas.
Criar Conta
Turmas anteriores",Ambiente e Saúde,desastres-naturais;educacao-em-saude-ambiental;rio-doce-escolar,nao,https://mooc.cefor.ifes.edu.br/moodle/course/view.php?educacao-saude-ambiental,https://mooc.cefor.ifes.edu.br/moodle/course/info.php?id=774,https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2026/03/vitrine_Educacao-em-Saude-Ambiental-1.png,
27,775,Desvendando a tabela periódica do Rio Doce,"""Desvendando a Tabela Periódica do Rio Doce""",20 horas.,Português (BR),Básico.,[Manuella Villar Amado](https://mooc.cefor.ifes.edu.br/moodle/user/profile.php?id=18696),Professores da educação básica.,Computador ou smartphone conectado a rede de internet.,Conhecimentos básicos sobre Química.,"Através da abordagem CTSA (Ciência, Tecnologia, Sociedade e Ambiente), o curso proporciona uma formação que vai além do conhecimento teórico, incentivando práticas pedagógicas que valorizem a compreensão dos impactos dos elementos químicos presentes nos rejeitos – como ferro, manganês e alumínio – além da fauna e flora. Ao integrar atividades experimentais e discussões de casos reais, o curso prepara educadores para despertar a consciência ambiental nos alunos, estimulando uma análise crítica dos riscos à saúde humana e ao meio ambiente. Desta forma, contribui para uma formação cidadã e responsável, fundamental para uma sociedade mais preocupada com a crise ambiental atual. Aqui iremos compreender a presença e os efeitos dos elementos químicos, permitindo que os cursistas identifiquem os principais elementos químicos presentes nos rejeitos do rompimento da barragem do rio Doce, e compreendam seus impactos para o meio ambiente e para a saúde. O curso também possui objetivo de desenvolver habilidades para o uso da abordagem CTSA no ensino, capacitando professores a utilizar a metodologia em suas aulas, integrando Ciência, Tecnologia, Sociedade e Ambiente em suas atividades.","Introdução aos elementos químicos da Tabela Periódica;
Bioacumulação dos elementos químicos;
Ensino de Química e perspectiva CTSA;
Aulas experimentais significativas.","Este curso utiliza uma metodologia ativa e contextualizada, centrada na integração de conteúdos de Química com temas socioambientais, em especial o crime ambiental que ocasionou o rompimento da barragem de Fundão, além de seus impactos. Os conteúdos são organizados e inseridos em módulos, onde intercalam leituras, vídeos, atividades e avaliações, visando conectar teoria e prática. Ao longo do curso, o cursista será incentivado a aplicar os conhecimentos adquiridos em atividades didáticas e experimentais, planejando projetos que podem ser replicados em suas salas de aula.","A avaliação será contínua, onde ao final de cada módulo o cursista deverá responder ao questionário referente ao conteúdo trabalhado. Os questionários possuem autocorreção e serão dadas duas chances para sua realização, onde a nota mais alta prevalecerá. A soma dos questionários totalizará 100 pontos, onde para obter a aprovação, o cursista deverá alcançar 60% da nota máxima no curso na soma de todas as atividades propostas.
Criar Conta
Turmas anteriores",Ambiente e Saúde,ctsa;educacao-ambiental;ensino-de-quimica;rio-doce-escolar;tabela-periodica,nao,https://mooc.cefor.ifes.edu.br/moodle/course/view.php?desvendando-tabela-periodica-rio-doce,https://mooc.cefor.ifes.edu.br/moodle/course/info.php?id=775,https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2026/03/vitrine_Desvendando-a-tabela-periodica-do-Rio-Doce-1.png,
28,768,Árvores e Números: Uma abordagem Matemática para a Preservação Ambiental,Árvores e Números: Uma abordagem Matemática para a Preservação Ambiental,20 h,Português,Básico,[Antonio Henrique Pinto](https://mooc.cefor.ifes.edu.br/moodle/user/profile.php?id=114742),"Professores, Professores em autoformação, Educadores Ambientais, alunos e Sociedade em Geral.","Ter um dispositivo (computador, tablet ou smartphone) com acesso à internet e programas de edição de texto. (pdf, word)",Não há pré-requisitos para a realização deste curso.,"A proposta constitui analisar criticamente a relação entre Educação Ambiental e Educação Matemática, com ênfase na formação de educadores ambientais no contexto do Projeto Rio Doce Escolar - PRDE.","1 A Educação Ambiental na Legislação
2Mata Atlântica e a preservação da vida
3A Educação Matemática e a Educação Ambiental no contexto escolar","O curso propõe uma abordagem metodológica baseada em integrar a Educação Matemática Crítica e a Educação Ambiental, baseando-se na abordagem participativa no qual os cursistas podem interagir entre si nos fóruns, visando sanar dúvidas, ou discutir os conteúdos, trocar informações, compartilhar suas produções com os colegas para aprender uns com os outros. Os cursistas terão acesso a atividades que promovem a compreensão dos principais conceitos relacionados a MATEMÁTICA E SUSTENTABILIDADE. Os conteúdos estarão disponíveis nos formatos de vídeo tutoriais, textos informativos, gráficos e tabelas, possibilitando uma aprendizagem flexível e dinâmica. A avaliação será realizada por meio de questionários e o mesmo terá correção automática, sendo importante mencionar que o curso não conta com tutoria.","O cursista será avaliado por meio de atividades realizadas ao final de cada tópico e questionário de autocorreção ao final do curso, estas atividades terão um total de 100 pontos. Os questionários possuem restrição para sua realização. Assim, estão condicionados ao acesso de certos recursos ou à entrega de determinadas atividades. Para obter aprovação, o cursista deverá alcançar 60% da nota máxima no curso, constituída da soma de todas as atividades avaliativas realizadas.
Criar Conta
Turmas anteriores",Ambiente e Saúde,educacao-ambiental;educacao-matematica;etica-profissional;formacao-de-educadores;rio-doce-escolar,nao,https://mooc.cefor.ifes.edu.br/moodle/course/view.php?arvore-numero-matematica-preservacao-ambiental,https://mooc.cefor.ifes.edu.br/moodle/course/info.php?id=768,https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2026/03/vitrine_Arvores-e-Numeros_-Uma-abordagem-Matematica-para-a-Preservacao-Ambiental-1.png,
29,769,Geofísica para o Ensino de Ciências,Geofísica para o Ensino de Ciências,30h,Português,Básico,[Carlos Roberto Roberto Pires Campos](https://mooc.cefor.ifes.edu.br/moodle/user/profile.php?id=5687),"Educadores, estudantes de licenciaturas e bacharelados (Física, Química, Biologia, Geografia), pedagogos e pessoas interessadas no tema.","Necessário computador / laptop, tablet ou smartphone com acesso à internet.",Não há pré-requisitos para realização desse curso.,"Este curso MOOC propõe uma abordagem prática e inovadora para o ensino de geociências, utilizando aulas de campo como ferramenta principal. Exploraremos os conceitos fundamentais da interdisciplinaridade entre Física e Geologia e sua aplicação na compreensão dos fenômenos geofísicos. O curso orientará os participantes a realizar observações diretas e análises in loco em ambientes naturais diversos.","Introdução à Geofísica.
Conceitos didáticos da Geofísica no Ensino de Ciências.
Minerais, Rochas e Estruturas Geológicas.
Conhecimentos Geofísicos em práticas de campo.","O curso será ministrado de forma dinâmica e participativa, combinando vídeos instrucionais, estudos de caso, gamificação, atividades práticas e fóruns de discussão (fórum blog). Os participantes serão incentivados a aplicar os conceitos aprendidos em diferentes ambientes naturais, promovendo a integração entre teoria e prática.","Tarefas ao final dos tópicos — questionário objetivo, e envio de arquivos. Os 100 pontos serão distribuídos nos questionários.
Criar Conta
Turmas anteriores",Ambiente e Saúde,ciencias-naturais;educacao;geociencias;geofisica;rio-doce-escolar,nao,https://mooc.cefor.ifes.edu.br/moodle/course/view.php?geofisica-ensino-ciencias,https://mooc.cefor.ifes.edu.br/moodle/course/info.php?id=769,https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2026/03/vitrine_Geofisica-para-o-Ensino-de-Ciencias-1.png,
30,773,Biopirataria de Abelhas Nativas: Impactos Socioambientais e Econômicos,BIOPIRATARIA DE ABELHAS NATIVAS:IMPACTOS SOCIOAMBIENTAIS E ECONÔMICOS,20 Horas,Português,Básico,[André Poça Suave](https://mooc.cefor.ifes.edu.br/moodle/user/profile.php?id=102416),"Educadores interessados em promover um ambiente educativo baseado naEducação AmbientalCrítica através da criação de abelhas sem ferrão, com ênfase na biopirataria de abelhas nativas.",Necessário computador ou smartphone com acesso à internet e programas de edição de texto (pdf e word).,Não há necessidade de conhecimentos prévios para a realização do curso.,"Este curso visa orientar educadores interessados na implementação de abordagens práticas interdisciplinares com foco na biopirataria e meliponários. Destaca-se a importância de adquirir abelhas de fontes confiáveis para evitar o fomento do tráfico de animais silvestres e biopirataria, além de garantir a segurança ambiental no manejo das populações de abelhas. Embora tenha enfoque nas abelhas, o curso traz informações gerais sobre biopirataria e princípios para discutir a conservação de outros animais, promovendo a conscientização sobre questões ambientais e a biodiversidade.",Educação AmbientalCrítica; Biopirataria; Irregularidades no comércio de abelhas nativas sem ferrão; Riscos e consequências associados ao transporte descontrolado de colmeias; O tema da biopirataria na integração inter/transdisciplinar da educação básica.,"Este curso é autoinstrucional, pois não inclui tutoria. Os materiais de estudo, como vídeos, textos e links online, estão disponíveis para os alunos estudarem de forma independente. Após cada etapa, os alunos serão engajados em diversas atividades, como participação em fóruns, blogs, criação de mapas mentais, pesquisas, debates e atividades práticas. A avaliação final será realizada por meio de questionários com correção automática.","A avaliação da aprendizagem será contínua ao longo do curso, ocorrendo no final de cada tópico através de diferentes abordagens, tais como pesquisa, interatividade, debate, práticas, uso da criatividade e atividades práticas. Além disso, a avaliação se dará por meio de questionários de autocorreção ao final de cada tópico, totalizando 100 pontos. Estes questionários serão restritos, condicionados ao acesso de recursos específicos ou à conclusão de determinadas atividades. Para ser aprovado, o aluno deverá alcançar pelo menos 60% da nota máxima no curso, que é a soma de todas as atividades avaliativas realizadas.
Criar Conta
Turmas anteriores",Ambiente e Saúde,biopirataria;ensino-de-ciencias;meliponicultura;rio-doce-escolar,nao,https://mooc.cefor.ifes.edu.br/moodle/course/view.php?biopirataria-abelhas-nativas-impactos,https://mooc.cefor.ifes.edu.br/moodle/course/info.php?id=773,https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2026/03/vitrine_Biopirataria-de-Abelhas-Nativas_-Impactos-Socioambientais-e-Economicos-1.png,
31,772,Tecnologia Verde: Robótica Sustentável na Educação,Tecnologia Verde: Robótica Sustentável na Educação,20h,Português,Básico,[Iago Saibel Binow](https://mooc.cefor.ifes.edu.br/moodle/user/profile.php?id=92901),"Educadores (professores, gestores e representantes comunitários atuantes nas escolas) e demais pessoas interessadas em refletir sobre a avaliação no processo de ensino e aprendizagem.","Ter um dispositivo (computador, tablet, smartphone, etc) com acesso à internet.",Não há pré-requisitos para realização desse curso.,Este curso aborda como a tecnologia verde e a robótica sustentável podem ser integradas na educação para promover a criatividade e inovação na resolução de problemas ambientais. Conceitos básicos e exemplos de práticas a serem exploradas em sala de aula.,"Introdução à Robótica Sustentável;
Conceito de Tecnologia verde;
Práticas “Mão na Massa” para a Educação Ambiental;","momentos de estudos individuais e atividades baseadas em autoinstrução como estudos dirigidos, gamificação e questionários online;
conteúdos, a serem estudados de forma livre pelo cursista, disponíveis em forma de vídeos, material complementar e links;
fórum de discussão no qual os alunos podem interagir entre si e discutir os conteúdos, trocar informações, compartilhar suas produções com os colegas de forma a aprender uns com os outros;
questionários avaliativos de correção automática.
Este curso não possui tutoria.","O cursista será avaliado por meio de questionários avaliativos e atividades gamificadas de autocorreção ao final de cada tópico, que juntos totalizam 100 pontos. Os questionários possuem restrição para sua realização. Assim, estão condicionados ao acesso de certos recursos ou à entrega de determinadas atividades. As demais atividades do curso servem para a sua prática dos conhecimentos apresentados.
Para obter aprovação, o cursista deverá alcançar 60% da nota máxima no curso, constituída da soma de todas as atividades avaliativas realizadas.
Criar Conta
Turmas anteriores",Ambiente e Saúde,educacao-ambiental;rio-doce-escolar;robotica-sustentavel;tecnologia-verde,nao,https://mooc.cefor.ifes.edu.br/moodle/course/view.php?tecnologia-verde-robotica-sustentavel-educacao,https://mooc.cefor.ifes.edu.br/moodle/course/info.php?id=772,https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2026/03/vitrine_Tecnologia-Verde_-Robotica-Sustentavel-na-Educacao-1.png,
32,800,Educação Ambiental em Três Momentos Pedagógicos,Educação Ambiental em Três Momentos Pedagógicos,20h,Português,Intermediário,[Antônio Donizetti Sgarbi](https://mooc.cefor.ifes.edu.br/moodle/user/profile.php?id=56353),"Educadores, em geral, sejam de contextos escolares ou não-escolares e/ou ligados a Educação Ambiental.",Computador ou smartphone com acesso à internet.,Não há pré-requisitos,"O curso MOOC “Educação Ambiental em Três Momentos Pedagógicos” possui como objetivo geral desenvolver competências e habilidades quanto a utilização da metodologia de ensino Três Momentos Pedagógicos aplicada à Educação Ambiental. Desenvolvendo conhecimentos voltados à abordagem amplamente utilizada em espaços formativos, direcionando sua utilização no campo da Educação Ambiental. Deste modo, almejamos que os participantes alcancem uma compreensão abrangente dos conceitos fundamentais relacionados aos Três Momentos Pedagógicos, vislumbrando possibilidades de utilização da abordagem em seus respectivos campos de atuação, especialmente, direcionados à Educação Ambiental.","Os Três Momentos Pedagógicos: problematização inicial, organização do conhecimento e aplicação do conhecimento;
Os Três Momentos Pedagógicossob o enfoque da Educação Ambiental;
Sugestões de aplicação dos Três Momentos Pedagógicos em espaços formais e não-formais de educação.","O curso apresenta uma abordagem que integra períodos de estudo independente, envolvendo atividades centradas na autoinstrução, visualização de videoaulas, animações, textos, jogos interativos, estudos direcionados e questionários online. Além disso, inclui fóruns colaborativos que facilita a troca de experiências entre os participantes, promovendo momentos de reflexão sobre suas práticas cotidianas.","O cursista será avaliado por meio de questionários eletrônicos de múltipla escolha e jogos. O cursista deverá alcançar 60% da nota máxima no curso, constituída da soma de todas as atividades avaliativas realizadas.
Criar Conta
Turmas anteriores",Ambiente e Saúde,educacao-ambiental;educadores;metodologia;rio-doce-escolar,nao,https://mooc.cefor.ifes.edu.br/moodle/course/view.php?educacao-ambiental-tres-momentos-pedagogicos,https://mooc.cefor.ifes.edu.br/moodle/course/info.php?id=800,https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2026/03/vitrine_Educacao-Ambiental-em-Tres-Momentos-Pedagogicos-1.png,
33,770,Conservação e Restauração de Nascentes aplicada à Educação Ambiental,Conservação e Restauração de Nascentes aplicada à Educação Ambiental,20 horas,Português,Básico,[Manoel Augusto Polastreli Barbosa](https://mooc.cefor.ifes.edu.br/moodle/user/profile.php?id=2004),"Este curso destina-se a quaisquer pessoas que buscam adquirir conhecimentos especializados e habilidades práticas na conservação e restauração de nascentes. Sendo projetado para ser acessível e benéfico para uma ampla gama de participantes, promovendo a colaboração entre diferentes setores e preparando os envolvidos para desempenhar papéis ativos na preservação sustentável dos recursos hídricos.",Computador ou smartphone com acesso à internet.,Não há pré-requisitos,"O curso aborda os princípios e práticas fundamentais da conservação e restauração de nascentes, com ênfase na aplicação desses conhecimentos à Educação Ambiental. Com a temática central focada na Conservação de Nascentes, os participantes terão a oportunidade de adquirir habilidades práticas e teóricas para promover a preservação e a sustentabilidade destes recursos hídricos.","Definição e importância das nascentes nos ecossistemas aquáticos.
Impacto das atividades humanas e mudanças climáticas nas nascentes.
Conexão entre nascentes, bacias hidrográficas e abastecimento de água.
Identificação e análise dos principais desafios enfrentados pelas nascentes.
Impacto de práticas agrícolas, urbanização e poluição na degradação das nascentes.
Análise crítica das ameaças emergentes e sua relação com mudanças climáticas.
Reflorestamento e recomposição de áreas degradadas.
Manejo sustentável do solo e vegetação.
Integração de ecossistemas aquáticos e terrestres na restauração.
Análise de casos reais de conservação e restauração de nascentes.
Experiências bem-sucedidas de engajamento comunitário.","O curso propõe uma metodologia que contempla momentos de estudos individuais com atividades baseadas em auto instrução, exibição de vídeo aulas, animações, textos, jogos interativos, estudos dirigidos e questionários online, além de fórum colaborativo, possibilitando troca de experiências com outros cursistas, que levam a momentos de reflexão sobre sua prática cotidiana no meio ambiente.","O cursista será avaliado por meio de questionários eletrônicos de múltipla escolha. O cursista deverá alcançar 60% da nota máxima no curso, constituída da soma de todas as atividades avaliativas realizadas.
Criar Conta
Turmas anteriores",Ambiente e Saúde,educadores-ambientais;praticas-ambientais;rio-doce-escolar;socioambiental,nao,https://mooc.cefor.ifes.edu.br/moodle/course/view.php?conservacao-restauracao-nascentes-educacao-ambiental,https://mooc.cefor.ifes.edu.br/moodle/course/info.php?id=770,https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2026/03/vitrine_Conservacao-e-Restauracao-de-Nascentes-aplicada-a-Educacao-Ambiental-2.png,
34,771,Literatura em ação com enfoque CTSA,Literatura em ação com enfoque CTSA,20h,Português,Básico,[Manuella Villar Amado](https://mooc.cefor.ifes.edu.br/moodle/user/profile.php?id=18696),"Educadores (professores, gestores e agentes comunitários) e demais interessados em aprender sobre o enfoque CTSA e o uso da Literatura para promover a educação ambiental no contexto do Rio Doce.","Conexão de internet, Smartphone, Tablet ou Computador.",Não há necessidade de conhecimentos prévios para este curso.,"O presente curso tem como objetivo a formação de Educadores Ambientais a partir da Literatura com enfoque CTSA. No decorrer das atividades formativas, fóruns, games e questionários, além da formação, o participante será convidado a despertar sua veia artística. Ao final do curso, será proposto a construção de um artefato artístico (poema, paródia, música, relato crítico etc.) acerca das questões ambientais atuais relacionadas ao Rio Doce.","Introdução à EaD.
O Projeto Rio Doce Escolar e o rompimento da barragem em Mariana.
Enfoque CTSA (Ciência, Tecnologia, Sociedade e Ambiente).
Literaturalização.
Como produzir um artefato artístico.","O curso propõe uma metodologia que contempla estudos baseados em autoinstrução, seguidos de atividades que levam o cursista a compreender os principais conceitos atrelados ao tema. O cursista poderá demonstrar seus conhecimentos por meio de atividades didáticas disponíveis no curso e assim verificar os conhecimentos adquiridos. Os conteúdos podem ser estudados de forma livre pelo cursista e estão disponíveis em forma de vídeo tutoriais, textos informativos e infográficos. Há um fórum de discussão no qual os alunos podem interagir entre si, visando sanar dúvidas ou discutir os conteúdos trabalhados. Há questionários avaliativos de correção automática e uma proposta de construção artística ao final do curso. Este curso não possui tutoria.","A avaliação se dará através de dois questionários ao longo de cada etapa do curso, cada um terá valor 30,0 pontos, e do questionário final de curso, que terá valor 40,0 pontos.
Criar Conta
Turmas anteriores",Ambiente e Saúde,ctsa;formacao-de-professores;literaturalizacao;rio-doce-escolar,nao,https://mooc.cefor.ifes.edu.br/moodle/course/view.php?literatura-acao-enfoque-ctsa,https://mooc.cefor.ifes.edu.br/moodle/course/info.php?id=771,https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2026/03/vitrine_Literatura-em-acao-com-enfoque-CTSA.png,
35,618,A Plastinação como Recurso Didático no Ensino de Ciências e Biologia,A Plastinação como Recurso Didático no Ensino de Ciências e Biologia.,20 horas.,Português.,Básico.,[Manuella Villar Amado](https://mooc.cefor.ifes.edu.br/moodle/user/profile.php?id=18696),Professores e estudantes.,"Possuir computador, smartphone ou tablet com acesso à internet.",estudantes do ensino médio e de qualquer curso superior nas áreas da saúde ou ciências biológicas.,"Este curso oferece uma abordagem inovadora para a Plastinação. O objetivo principal do curso é proporcionar aos estudantes uma compreensão aprofundada sobre a técnica de Plastinação e sua utilização. Os tópicos abordados incluem uma visão geral das diferentes técnicas de conservação de espécimes biológicos, o histórico da técnica de plastinação, o processo da técnica de plastinação, a utilização dos espécimes plastinados no ensino, na pesquisa e na extensão e a utilização dos espécimes plastinados em museus e exposições.","Introdução e histórico das técnicas de conservação de espécimes biológicos;
O histórico da técnica de plastinação;
O processo da técnica de plastinação;
A utilização dos espécimes plastinados no ensino, na pesquisa e na extensão;
A utilização dos espécimes plastinados em museus e exposições.","Os conteúdos, a serem estudados de forma livre pelo cursista, estão disponíveis em forma de vídeos, imagens interativas, materiais textuais e links para internet;
O curso propõe momentos de estudo individuais e atividades baseadas na auto instrução com estudos dirigidos e questionários online, que levam o aluno à compreensão do processo de plastinação;
Há um fórum em que os alunoscompartilham suas expectativas e experiências prévias;
Há um jogo interativo e questionário de correção automática ao final de cada sessão do curso e um questionário ao final de todo o curso;
Esse curso não possui tutoria.","O cursista será avaliado por meio de participação em fórum, jogos interativos e questionários avaliativos de autocorreção ao final de cada tópico e uma avaliação ao final de todo o curso, que juntos totalizam 100 pontos. Para obter aprovação, o cursista deverá alcançar 60% da nota máxima no curso, constituída da soma de todas as atividades avaliativas realizadas.
Criar Conta
Turmas anteriores",Ambiente e Saúde;Ciências da Natureza,biologia;ensino-de-ciencias;plastinacao;recurso-didatico,nao,https://mooc.cefor.ifes.edu.br/moodle/course/view.php?plastinacao-recurso-didatico-ciencias-biologia,https://mooc.cefor.ifes.edu.br/moodle/course/info.php?id=618,https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2025/12/194-vitrine_A-Plastinacao-como-Recurso-Didatico-no-Ensino-de-Ciencias-e-Biologia.png,
